restaurant_id,cuisine_type
249,Family Meals
250,Fast Food
250,Italian
250,pizza
250,wings
251,Fast Food
251,American
251,Burgers
252,Pizza
252,Wings
252,Sandwiches
252,Desserts
252,American
252,Traditional American
252,Fast Food
253,Burritos
253,Fast Food
253,Mexican
254,Pharmacy
254,Convenience
254,Everyday Essentials
254,Baby
255,Fast Food
255,Chicken
255,Wings
256,Chicken
256,Fast Food
256,American
256,Comfort Food
256,Diner
256,Wings
257,Bubble Tea
257,Juice and Smoothies
257,Bubble Tea
258,Halal
258,Chicken
258,Middle Eastern
259,Ice Cream &amp; Frozen Yogurt
259,Desserts
260,Healthy
260,Sandwich
260,Soup
261,Black-owned
261,Desserts
262,American
262,Bar Food
262,Wings
262,Fast Food
262,Chicken
262,Family Meals
262,Exclusive to Eats
262,Comfort Food
263,Dessert: Other
263,Ice Cream + Frozen Yogurt
264,Indian
264,Vegetarian
264,Pakistani
264,Indian Curry
264,Vegan
265,Drinks
265,Turkish
266,American
266,Burgers
266,Fast Food
267,Chicken
267,Wings
267,Sandwiches
267,Comfort Food
267,Family Meals
268,Comfort Food
268,American
268,Wings
268,Family Meals
269,Comfort Food
269,American
269,Wings
270,BBQ
270,Sandwich
270,Salads
271,Indian
271,Vegetarian
271,Pakistani
271,Indian Curry
271,Healthy
272,Sandwich
272,Family Meals
273,Fast Food
273,Chicken
273,American
274,American
274,Steak
274,Sandwiches
275,BBQ
275,American
275,Burgers
276,American
276,Bar Food
276,BBQ
276,burger
276,Chicken Strips
276,Comfort Food
276,Dinner
276,pasta
276,salad
276,Sandwich
276,Soup
276,Steak
276,Traditional American
276,wings
276,Family Meals
277,Comfort Food
277,American
277,Wings
278,Juice and Smoothies
278,Healthy
278,Desserts
279,Desserts
279,PIzza
279,Wings
279,Sandwiches
280,Coffee and Tea
280,American
280,Breakfast and Brunch
281,Ice Cream &amp; Frozen Yogurt
281,Comfort Food
281,Desserts
282,Cajun
283,Italian
283,Pasta
283,Comfort Food
284,Fast Food
284,Italian
284,pizza
284,wings
285,Burgers
285,American
285,Sandwiches
286,American
286,Bar Food
286,Wings
286,Fast Food
286,Chicken
286,Family Meals
286,Exclusive to Eats
286,Comfort Food
287,Burgers
287,American
287,Sandwiches
288,American
288,burger
288,Fast Food
288,Family Meals
289,Mexican
289,Fast Food
289,Comfort Food
290,American
290,Fast Food
290,wings
290,Family Meals
291,American
291,burger
291,Fast Food
292,Breakfast and Brunch
292,Bakery
292,Desserts
293,Mexican
293,Latin American
293,New Mexican
294,American
294,Burgers
294,Fast Food
295,American
295,Fast Food
295,wings
296,Seafood
296,Fast Food
296,Fish and Chips
296,American
296,Family Meals
297,Sandwich
297,American
298,Fast Food
298,American
298,Burgers
299,American
299,Sandwiches
299,Wings
299,Family Meals
300,American
300,Desserts
301,American
301,burger
301,Fast Food
301,Hot Dog
301,Sandwich
302,American
302,Chicken
302,Family Meals
302,Fried Chicken
302,Comfort Food
303,American
303,Sandwich
303,Fast Food
303,Kids Friendly
304,American
304,Bar Food
304,BBQ
304,burger
304,Chicken Strips
304,Comfort Food
304,Dinner
304,pasta
304,salad
304,Sandwich
304,Soup
304,Steak
304,Traditional American
304,wings
304,Family Meals
305,Breakfast and Brunch
305,salad
305,Sandwich
305,Family Meals
305,Pizza
305,Healthy
305,American
305,Chicken
306,Seafood
306,American
306,Family Meals
307,Burgers
307,American
307,Sandwiches
307,Family Meals
308,pizza
309,Comfort Food
309,Caribbean
309,Cajun
310,Ice Cream + Frozen Yogurt
310,Desserts
310,Vegetarian
310,Vegetarian Friendly
310,Bakery
310,Healthy
311,American
311,Soul Food
311,Seafood
311,Black-owned
312,Fast Food
312,Sandwich
312,American
313,Indian
313,Vegetarian
313,Asian
313,Healthy
314,Asian
314,Desserts
314,Juice and Smoothies
314,Bubble Tea
315,Bubble Tea
315,Coffee and Tea
315,Juice and Smoothies
316,Sushi
316,Mexican
316,Burritos
317,Black-owned
317,Caribbean
317,Chicken
318,Mediterranean
318,Vegetarian
318,Healthy
319,American
319,Sandwiches
319,Steak
319,Seafood
319,Salads
319,BBQ
319,Healthy
319,Family Friendly
320,Healthy
320,Family Meals
321,Desserts
321,Ice Cream + Frozen Yogurt
322,Italian
322,Pasta
322,Comfort Food
322,Family Meals
323,Ice Cream &amp; Frozen Yogurt
323,Comfort Food
323,Desserts
324,Ice Cream &amp; Frozen Yogurt
324,Comfort Food
324,Desserts
325,Ice Cream &amp; Frozen Yogurt
325,Comfort Food
325,Desserts
326,Italian
326,Pasta
